STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
119,3543870,11773,110-CTy CP SX Nhua Duy Tan,,lcc,,Y,,
120,3544246,11773,110-CTy CP SX Nhua Duy Tan,,,,Y,,
121,3218628,11773,110-CTy CP SX Nhua Duy Tan,,,1,Y,,
122,3517621,11773,110-CTy CP SX Nhua Duy Tan,,,1,Y,,
123,3541545,11773,110-CTy CP SX Nhua Duy Tan,,,34,Y,,
124,3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,,,Y,,
125,3557783,11773,110-CTy CP SX Nhua Duy Tan,,,,Y,,
127,3557782,11773,110-CTy CP SX Nhua Duy Tan,,,,Y,,
128,3554246,11773,110-CTy CP SX Nhua Duy Tan,,,16,Y,,
129,3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,,1,Y,,
130,3348367,16964,100-CTy TNHH Tan Hop Thanh,,,4,Y,,
131,3348368,16964,100-CTy TNHH Tan Hop Thanh,,,5,Y,,
133,3448562,11773,110-CTy CP SX Nhua Duy Tan,,,,Y,,
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,x,ma c,,N,,
135,3419927,11773,110-CTy CP SX Nhua Duy Tan,,,,Y,,
141,3385771,11773,110-CTy CP SX Nhua Duy Tan,x,lcc,,N,,
156,3430007,16964,100-CTy TNHH Tan Hop Thanh,,,5,Y,,
157,3520753,11773,110-CTy CP SX Nhua Duy Tan,,,2,Y,,
164,3295021,11773,110-CTy CP SX Nhua Duy Tan,x,ma  C,ma C,N,,
165,3295023,11773,110-CTy CP SX Nhua Duy Tan,x,ma  C,ma C,N,,
177,3412002,11773,110-CTy CP SX Nhua Duy Tan,x,ma  C,ma C,N,,
178,3497612,16964,100-CTy TNHH Tan Hop Thanh,,,1,Y,,
181,3403438,11773,110-CTy CP SX Nhua Duy Tan,,,16,Y,,
182,3533694,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),x,LCC,lcc,N,,
183,3533695,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),x,LCC,lcc ,N,,
185,3459960,11773,110-CTy CP SX Nhua Duy Tan,x,KHONG KD ,,N,,
186,3556029,11773,110-CTy CP SX Nhua Duy Tan,,,8,Y,,
187,3490336,11773,110-CTy CP SX Nhua Duy Tan,x,KHONG KD ,,N,,
199,3055152,11773,110-CTy CP SX Nhua Duy Tan,,,37,Y,,
200,3055153,11773,110-CTy CP SX Nhua Duy Tan,,,50,Y,,
201,3055154,11773,110-CTy CP SX Nhua Duy Tan,,,28,Y,,
202,3055204,11773,110-CTy CP SX Nhua Duy Tan,,,32,Y,,
207,3260451,11773,110-CTy CP SX Nhua Duy Tan,,,,Y,,
208,3260454,11773,110-CTy CP SX Nhua Duy Tan,,,9,Y,,
211,3314547,11773,110-CTy CP SX Nhua Duy Tan,,,17,Y,,
212,3357483,16964,100-CTy TNHH Tan Hop Thanh,x,MA C,ma C,N,,
214,3327143,16964,100-CTy TNHH Tan Hop Thanh,,,4,Y,,
215,3327144,16964,100-CTy TNHH Tan Hop Thanh,,,4,Y,,
217,3382940,11773,110-CTy CP SX Nhua Duy Tan,,,,Y,,
218,3382941,11773,110-CTy CP SX Nhua Duy Tan,,,3,Y,,
219,3383606,13468,100-CTY TNHH SAMRAN-NR,,,126,Y,,
220,3383607,13468,100-CTY TNHH SAMRAN-NR,,,161,Y,,
