STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
546,3406721,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
547,3406723,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
560,3507585,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
561,3419604,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
562,3422258,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
563,3422250,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
564,3519233,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
566,3392950,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
567,3517502,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
568,3390756,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
569,3476197,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
570,3011823,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
571,3509235,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
572,3438240,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
573,3436536,11773,110-CTy CP SX Nhua Duy Tan,LCC,N,
574,3434404,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
575,3552975,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
576,3368152,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
578,3548188,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
579,3548189,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
580,3548191,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
581,3555041,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
582,3448563,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
583,3555042,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
584,3546767,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
585,3555040,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
586,3503276,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
587,3503277,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
588,3419131,11773,110-CTy CP SX Nhua Duy Tan,KHONG KD,N,
589,3422582,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
591,3490338,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
592,3312781,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
593,3342478,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
595,3065101,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
596,3065131,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
604,3533214,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
605,3533215,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
610,3535595,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
611,3535596,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
617,3536397,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
618,3536398,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
619,3536399,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
620,3536400,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
626,3168725,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
627,3168726,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
628,3168727,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
629,3168728,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
630,3168729,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
631,3168730,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
632,3168732,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
