STRNUM,STRNAM,STCITY,STSDAT,STPOLL,STRHDO
20091,TC CH Co.opFood Go Dua 112,Binh Duong,180423,N,S
2011,CH Co.opFood CC LACASA,HCM,180518,Y,S
20111,TC CH Co.opFood CC LACASA,Binh Duong,180518,N,S
9106,CH Co.opFood HN Khuong Trung,"Q.ThanhXuan,Tp.HaNoi",180518,Y,S
9107,CH Co.opFood HN Phung Khoang,"Q.NamTuLiem,TP.HaNoi",180518,Y,S
9108,CH Co.opFood HN Van Khe,TP.Ha Noi,180518,Y,S
9109,CH Co.opFood HN The Vesta,TP.Ha Noi,180518,Y,S
2012,NKD-CH Co.opFood Binh Thoi,HCM,180524,N,S
20121,TC CH Co.opFood Binh Thoi,Binh Duong,180524,N,S
9207,NKD-CH Co.opFood BH Ly Van Sam,"TP.Bien Hoa,Dong Nai",180524,N,S
9110,CH Co.opFood HN Green Stars,"Q.BacTuLiem,TP.HaNoi",180524,Y,S
2013,NKD-CH Co.opFood Duong So 6,HCM,180604,N,S
